countrycode,year,ln_tt,dlntt,rgdpna,ln_y,dlny,cpi_index,ln_cpi,d_ln_cpi,ca_gdp,dca_y,dlng,nxr,us_cpi_index,us_ln_cpi,broda_regime,regime_stable,irr_fine,irr_coarse,tot_best,ln_tot_best,dln_tot_best,trade_openness,lys_class,bilateral_rer,ln_bilateral_rer,dln_bilateral_rer,imf_reer,ln_imf_reer,dln_imf_reer,cepii_reer_bar,ln_cepii_reer_bar,dln_cepii_reer_bar,bruegel_reer_170,ln_bruegel_reer_170,dln_rer_bruegel,bruegel_reer_65,ln_bruegel_reer_65,dln_rer_darvas,rer_merged,ln_rer_merged,dln_rer_merged,rer_merged_src,it_adoption_year,it_active,it_ever,mandate_price_stability,mandate_dual_growth,kaopen,ka_open,ewn_debt_liab,ewn_debt_assets,ewn_fx_reserves,ewn_total_liab,ewn_total_assets,ewn_net_iip,ewn_gdp_usd,fx_exposure,net_fx_exposure,net_ext_liab
AFG,1973,4.680886,-0.019277,,,,98.06991872419204,4.5856806806508725,-0.112944762432791,,,,38.6922615476905,114.35930365770987,4.7393452783984085,exclude,,15.0,6.0,68.269647,4.223465,-0.000216,27.692308,,33.18092034378497,3.5019750222855355,,,,,,,,,,,,,,,,,none,,0,0,1,0,0.39859986,0.5539952,,,,,,,,,,
AFG,1974,4.620074,-0.060812,,,,108.10247096074843,4.683079582485201,0.0973989018343279,,,,38.3787089832034,127.00149490623674,4.844198857304565,exclude,,15.0,6.0,55.374227,4.014114,-0.209351,28.865979,Fixed,32.66759400297438,3.486383577445689,-0.0155914448398459,,,,,,,,,,,,,,,,none,,0,0,1,0,-0.93228245,0.23863538,,,,,,,,,,
AFG,1975,4.643041,0.022968,,,,120.91261418197534,4.795068087843796,0.1119885053585946,,,,34.9296307738452,138.61343492870162,4.931689015165608,exclude,,15.0,6.0,56.957584,4.042307,0.028193,26.948356,Fixed,30.469145876438294,3.416714560981432,-0.0696690164642572,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.1840549,0.17897654,,,,,,,,,,
AFG,1976,4.650113,0.007071,,,,121.638089895895,4.80105015975834,0.0059820719145441,,,,34.9296307738452,146.576516849302,4.987547591418953,exclude,,15.0,6.0,60.011819,4.094542,0.052235,28.086956,Fixed,28.986727611133265,3.366838056642632,-0.0498765043388003,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.4358273,0.11931769,,,,,,,,,,
AFG,1977,4.650439,0.000327,,,,130.94340388893409,4.874765198466523,0.0737150387081833,,,,34.9296307738452,156.10645906984956,5.050538204435046,exclude,,15.0,6.0,58.668279,4.071899,-0.022642,26.48608,Fixed,29.29926652211368,3.3775624823347217,0.0107244256920897,,,,,,,,,,,,,,,,none,,0,0,1,0,-0.6084897,0.31535983,,,,,,,,,,
AFG,1978,4.653757,0.003318,,,,137.4905740833808,4.923555362635955,0.048790164169432,,,,34.9296307738452,168.018880499592,5.124076357014801,exclude,,15.0,6.0,59.814714,4.091252,0.019353,24.713805,Fixed,28.58306741085662,3.3528144939243987,-0.0247479884103229,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1979,4.625548,-0.028209,,,,151.1021403931506,5.017956034586377,0.0944006719504222,,,,33.8461643196361,186.92852279565,5.230726312746378,exclude,,15.0,6.0,58.316585,4.065887,-0.025365,26.428947,OVM,27.359269716083755,3.309055400734516,-0.043759093189883,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.2538762,0.16243199,,,,,,,,,,
AFG,1980,4.617454,-0.008094,,,,171.34982662942383,5.143707236528007,0.1257512019416297,,,,34.3694584015197,212.25584766273363,5.35779237563754,exclude,,15.0,6.0,54.834289,4.004316,-0.061571,25.876277,Float,27.7457643843354,3.3230831937438428,0.0140277930093271,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.2538762,0.16243199,,,,,,,,,,
AFG,1981,4.626607,0.009153,,,,209.3894894484513,5.344196103520778,0.2004888669927705,,,,38.5616585156635,234.1918884034836,5.456140815224276,exclude,,15.0,6.0,55.295199,4.012686,0.00837,25.673009,Float,34.47773551818799,3.5403137684122137,0.2172305746683709,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.2538762,0.16243199,,,,,,,,,,
AFG,1982,4.638447,0.01184,,,,247.4983781255845,5.5114040289593325,0.167207925438555,,,,39.276429270146,248.5511803548997,5.5156487814929935,exclude,,15.0,6.0,56.687419,4.037552,0.024866,25.992744,Fixed,39.11006388722523,3.666379822292686,0.1260660538804723,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1983,4.641957,0.00351,,,,286.8506193034211,5.658961590025577,0.1475575610662452,,,,39.276429270146,256.53572192761607,5.547267921688439,exclude,,15.0,6.0,56.615656,4.036286,-0.001267,25.847344,Fixed,43.91773580502498,3.782318243163486,0.1159384208707998,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1984,4.645136,0.003179,,,,345.3681445470708,5.844610933743854,0.185649343718276,,,,39.276429270146,267.5681444107198,5.589374279354581,exclude,,15.0,6.0,56.558301,4.035272,-0.001014,25.8377,Fixed,50.6967207600111,3.92586122921562,0.1435429860521342,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1985,4.655274,0.010138,,,,375.4151724639285,5.928032540128235,0.0834216063843819,,,,39.276429270146,277.05514371656415,5.624216561163623,exclude,,15.0,6.0,58.704921,4.072524,0.037252,25.892596,Fixed,53.22033466126043,3.97444055379096,0.04857932457534,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1986,4.698569,0.043295,,,,367.53145420020985,5.90680890465074,-0.0212236354774955,,,,39.276429270146,282.31380392768176,5.643019232142901,exclude,,15.0,6.0,64.48458,4.166426,0.093903,25.859213,Fixed,51.13219036624307,3.9344142473341854,-0.0400263064567738,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1987,4.69694,-0.001629,,,,435.1572403710272,6.0757074378906815,0.1688985332399412,,,,39.276429270146,292.6593541353928,5.679009318784899,exclude,,15.0,6.0,66.874321,4.202815,0.036389,25.86317,Fixed,58.40039736067202,4.067322693932129,0.1329084465979431,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
AFG,1988,4.705356,0.008416,,,,554.8254814730597,6.318653616501071,0.2429461786103894,,,,39.276429270146,304.5932464323546,5.718977268292591,exclude,,15.0,6.0,68.427725,4.225778,0.022963,25.871659,Fixed,71.54316136549959,4.270300923034827,0.2029782291026975,,,,,,,,,,,,,,,,none,,0,0,1,0,-1.9393721,0.0,,,,,,,,,,
